mid ,date ,venue,bat_team,bow_team,batsman,bowler,runs,wickets,overs,runs_last5,wickets_last 5,striker,nonstriker,total
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,150,3,16.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,ferguson,151,3,16.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,152,3,17.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,narine,153,3,17.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,sai sudharshan,narine,153,4,17.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,David Miller,narine,154,4,17.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,narine,158,4,17.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,narine,159,4,17.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,164,4,18.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,166,4,18.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,172,4,18.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,176,4,18.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,177,4,18.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,David Miller,ferguson,178,4,18.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,ferguson,184,4,18.6,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,David Miller,thakur,185,4,19.1,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,185,4,19.2,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,191,4,19.3,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,197,4,19.4,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,203,4,19.5,,,,,204
13,09-04-2023,Narendra-Modi-stadium,Gujarat-Titans,KolkataKnightRiders,Vijay Shankar,thakur,204,4,19.6,,,,,204
,,,,,,,,,,,,,,
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,saha,Boult,1,0,0.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,saha,Boult,1,0,0.1,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,saha,Boult,5,0,0.2,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,saha,Boult,5,1,0.3,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,sai sudharshan,Boult,6,1,0.4,,,,,177
23,16-04-2023,Narendra-Modi-stadium,Gujarat-Titans,Rajasthan Royals,gill,Boult,6,1,0.5,,,,,177
